,url_length,hostname_length,num_dots,num_hyphens,has_https,num_subdirs,num_digits,num_params,num_fragments,num_uppercase,has_ip,has_port,is_encoded,starts_with_www,ends_with_suspicious_tld,suspicious_words,domain_age_days,dns_record_exists,has_ssl_certificate,is_alexa_top,label
has_ip,-0.21455050446689766,0.12570294420369443,0.34082977536091913,-0.1649720173111233,-0.11754703102415144,0.037214279246329265,0.24734175765366206,-0.15922673966380574,-0.012561977403300357,-0.02679853660186731,1.0,,-0.06151469938378646,-0.18803936929021509,-0.03364088287830802,-0.07287174149450273,,,-0.2376734753013013,-0.2163927300970395,-0.21793244894202715
has_port,,,,,,,,,,,,,,,,,,,,,
is_encoded,0.27762466522191104,0.01561865485052583,-0.022448847245164293,0.0228916536190345,0.018636053688955077,0.07181865091543302,0.29043281365386264,0.06091944984955787,0.02241754252247622,0.36517797704162636,-0.06151469938378646,,1.0,-0.031841339486793,-0.005374455125913747,0.057070064836769165,,,0.03250958471783484,0.04521809245552468,0.06442624484168168
starts_with_www,0.3212231059004612,0.500869366470725,0.21894144031738225,0.10552070690691463,-0.13208219438028546,0.24422874377960965,-0.056314185795404786,0.39098091566480603,-0.011196461963027331,0.003743249664413479,-0.18803936929021509,,-0.031841339486793,1.0,-0.040041778315252456,-0.017307599664140652,,,-0.11234049625350503,-0.275629365833145,-0.28732761854941197
ends_with_suspicious_tld,-0.048034933202251696,-0.02833163181333242,-0.0478914271820431,-0.01855007489493589,0.0015323370303271613,-0.07440417175117858,-0.026421726169657128,-0.03418961522508216,0.0003369151595855411,-0.009313387462958836,-0.03364088287830802,,-0.005374455125913747,-0.040041778315252456,1.0,0.03684798517020192,,,-0.05713563259149975,-0.05289246879778865,-0.041119216153261196
suspicious_words,0.24007709651815554,0.08620685932674434,0.2783645007927643,0.03238274669094733,-0.0008216508380363752,0.1848503279143154,0.1853825859151334,0.0371929343050959,0.013261591725948233,0.08775986760897178,-0.07287174149450273,,0.057070064836769165,-0.017307599664140652,0.03684798517020192,1.0,,,-0.05529044696249472,-0.07839164082312675,0.03974670804224144
domain_age_days,,,,,,,,,,,,,,,,,,,,,
dns_record_exists,,,,,,,,,,,,,,,,,,,,,
has_ssl_certificate,-0.02976515893588924,-0.24917277659336473,-0.20369800123205464,0.03638723603248838,0.07413745695466535,-0.057262749237844905,-0.0721297015780351,-0.0647550932940036,0.014883347407646423,0.010895960027182301,-0.2376734753013013,,0.03250958471783484,-0.11234049625350503,-0.05713563259149975,-0.05529044696249472,,,1.0,0.3264302480300118,0.3358076462739388
is_alexa_top,-0.050629276994628436,-0.2742671186244884,-0.18100608776292407,0.055515142517790966,0.24596211004453286,-0.03068875971744328,-0.013751356168487144,-0.15376255966756966,0.003978894976723368,0.046043208098680226,-0.2163927300970395,,0.04521809245552468,-0.275629365833145,-0.05289246879778865,-0.07839164082312675,,,0.3264302480300118,1.0,0.31010507981561386
label,-0.016224426309958406,-0.5056628290835888,-0.26985402842559575,0.18614234497262921,-0.174230653576597,-0.1576003050167634,-0.02875158673033535,-0.14168000788567028,-0.014538963404215175,0.020497690752933083,-0.21793244894202715,,0.06442624484168168,-0.28732761854941197,-0.041119216153261196,0.03974670804224144,,,0.3358076462739388,0.31010507981561386,1.0
